,,,,,,,,
,,,,,,,,
place,title,name,type,latitude,longitude,code,enclosed_by,date
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
person,firstname,surname,callname,prefix,suffix,title,gender,source,note,birthdate,birthplace,birthplaceid,birthsource,baptismdate,baptismplace,baptismplaceid,baptismsouce,deathdate,deathplace,deathplaceid,deathsource
[Pd6fd3be9-e1aa-420d],Desconocida,,,,,,femenino,"Tattersall, I., & Schwartz, J. H.",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P0c814db4-2f44-494a],Desconocido,,,,,,,,,,,,,,,,,,,,
[P252d0294-cf82-4d12],Desconocida,,,,,,femenino,"Tattersall, I., & Schwartz, J. H.",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pf804eea1-2b82-4be6],Desconocido,,,,,,,,,,,,,,,,,,,,
[P67f50dd8-70b3-41b3],Desconocida,,,,,,femenino,"Hitchcock, Don",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pfd7197b3-dccc-4265],Desconocido,,,,,,,,,,,,,,,,,,,,
[P43a030d3-5c21-4a49],Desconocida,,,,,,femenino,"Blaxland, Beth",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P8629260b-458e-44b8],Desconocido,,,,,,,,,,,,,,,,,,,,
[P4a6e38a1-34c6-4ce7],Desconocida,,,,,,femenino,"Dorey, Fran",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pc480c765-e878-4cf1],Desconocido,,,,,,,,,,,,,,,,,,,,
[Pbba9b264-807c-4c81],Desconocida,,,,,,femenino,"Tattersall, I., & Schwartz, J. H.",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pa440690e-79a5-4128],Desconocido,,,,,,,,,,,,,,,,,,,,
[Pd3e46abe-e7c7-48ac],Desconocida,,,,,,femenino,"Dorey, Fran",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P50aad5d5-70b0-4881],Desconocido,,,,,,,,,,,,,,,,,,,,
[Pfd7b36a2-0824-4ae8],Desconocida,,,,,,femenino,"Lari, M. et al.",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[Pe59e362a-f86f-4d21],Desconocido,,,,,,,,,,,,,,,,,,,,
[P38202bf1-654c-44e4],Desconocida,,,,,,femenino,"Qin, P., & Stoneking, M.",De acuerdo con fuentes primarias.,,,,,,,,,,,,
[P1db74bf2-b866-4a59],Desconocida,,,,,,,,,,,,,,,,,,,,
